409.001	400.110
434.935	405.989
460.000	419.457
486.224	454.926
512.100	478.871
536.018	496.888
564.248	532.189
580.022	562.578
603.276	596.581
629.326	615.107
655.376	632.861
680.503	656.125
697.613	684.868
728.219	708.147
754.232	719.736
781.556	755.527
806.792	785.852
832.842	806.828
858.893	823.896
884.943	839.129
911.536	857.421
935.958	874.771
963.093	901.969
984.259	922.022
1005.696	964.055
1027.986	984.367
1052.641	981.172
1077.063	973.158
1103.113	959.545
1129.163	945.437
1152.771	936.444
1181.263	935.784
1209.523	944.836
1235.806	955.915
1263.251	968.173
1289.534	978.191
1315.817	987.832
1343.495	997.026
1370.941	1009.213
1397.223	1018.948
1425.320	1024.295
1454.790	1025.549
1482.305	1023.701
1511.774	1018.288
1543.197	1006.815
1568.759	994.785
1594.809	985.491
1620.859	971.750
1640.306	951.979
1651.212	946.217
1666.311	930.570
1688.427	918.265
1712.035	905.545
1736.573	906.577
1766.846	892.436
1782.181	876.877
1788.786	851.864
1782.181	822.397
1773.945	789.507
1774.716	758.838
1783.673	730.037
1792.136	710.412
1801.508	693.489
1819.511	677.119
1832.517	671.562
1860.195	665.993
1889.501	671.393
1914.505	675.822
1941.602	693.095
1967.070	705.100
1999.943	704.880
2019.209	685.332
2028.707	655.043
2028.411	602.929
2041.121	553.151
2052.043	519.596
2061.270	486.535
2068.433	445.863
2074.760	403.839
2080.482	366.104
2088.017	323.927
2093.832	284.087
2097.089	248.089
2100.345	202.122
2101.430	149.314
2100.670	102.748
2102.624	63.225
2105.229	23.826
