# Combined results from the directory RESULTS/primary/GqqN1/results/
# M1	M2	r
2015	90	0.813638137014
2015	130	0.828200782418
2015	50	0.751055792883
2015	170	0.791800109706
2015	570	0.665316113247
2015	410	0.773762273996
2015	370	0.772101045243
2015	330	0.806994810848
2015	610	0.666421742878
2015	530	0.70513189641
2015	730	0.574732678791
2015	650	0.640445216076
2015	690	0.5968111614
2032	0	0.713286617398
2015	450	0.741652187125
2015	490	0.74275918095
2015	250	0.765604253922
2015	290	0.749601140155
2015	60	0.76633176828
2015	100	0.815822334745
2015	140	0.796894999636
2015	180	0.789616708311
2015	580	0.674161746282
2015	740	0.528403209638
2015	540	0.675267545581
2015	340	0.725604580427
2015	380	0.777638624571
2015	660	0.636577425241
2015	700	0.623870955912
2015	420	0.778192406034
2015	620	0.638787557283
2032	10	0.753996875589
2015	300	0.748873827118
2015	460	0.733350319096
2015	110	0.838396467669
2015	150	0.781611539868
2015	70	0.743782885827
2015	500	0.726156212079
2015	260	0.721969611786
2015	190	0.77360738329
2015	590	0.644313284625
2015	80	0.813638137014
2015	120	0.8187347083
2015	160	0.830385446257
2015	550	0.692410086848
2015	750	0.524544722808
2015	390	0.798131341997
2015	710	0.567559431229
2015	350	0.793700000597
2015	630	0.645971112698
2015	670	0.592946685417
2015	430	0.7671175922
2032	20	0.774028166131
2015	200	0.783794667911
2015	310	0.739419572353
2015	470	0.728923082638
2015	510	0.682455750165
2015	270	0.759057014005
2032	80	0.774028166131
2032	120	0.766014896835
2032	160	0.76534716939
2015	600	0.642102925877
2015	760	0.530056959686
2015	720	0.549355600965
2015	560	0.691303967909
2015	640	0.600675945294
2015	400	0.787607339114
2015	360	0.760473536929
2015	680	0.579699431851
2015	440	0.759919894188
2032	30	0.749323820527
2015	320	0.809764857704
2015	480	0.767671291863
2015	520	0.665316113247
2015	280	0.820190942
2032	130	0.736641597404
2032	90	0.771356966027
2032	170	0.745318624763
2032	560	0.651573986782
2032	280	0.717956871083
2032	520	0.680493115975
2032	600	0.635852067989
2032	440	0.694196452651
2032	320	0.7490386268
2032	360	0.693688868266
2032	480	0.718057431607
2032	400	0.725674457416
2032	240	0.718624080849
2032	640	0.608983045215
2032	100	0.804754708541
2032	140	0.727965814649
2032	840	0.43396360746
2032	760	0.477392804836
2032	800	0.46829842453
2032	720	0.535041024344
2032	180	0.729967806765
2032	150	0.729300468584
2032	110	0.766682631235
2032	650	0.584660759662
2032	570	0.636866252915
2032	290	0.69060797612
2032	530	0.683538041262
2032	610	0.61455852562
2032	330	0.69661025347
2032	490	0.702826005797
2032	410	0.715518615821
2032	370	0.734308122365
2032	450	0.695211633615
2032	250	0.742648638911
2032	850	0.400674399159
2032	770	0.480424774428
2032	190	0.780038766233
2032	810	0.455166252476
2032	730	0.517333170604
2032	660	0.592260213194
2032	1000	0.17265199403
2049	30	0.72572303696
2032	580	0.654110185749
2032	500	0.696734435481
2032	300	0.691941759173
2049	70	0.709172392759
2032	540	0.662734088164
2032	340	0.739895189312
2032	620	0.596820440914
2032	380	0.695276357833
2032	420	0.711456713044
2032	460	0.715010864317
2032	260	0.725296596775
2032	860	0.409245293156
2049	110	0.718979637176
2032	780	0.470319197733
2032	820	0.431440413389
2049	150	0.712849922077
2032	740	0.517333170604
2049	0	0.701205193249
2049	40	0.69446456185
2032	670	0.591753546797
2049	80	0.67976047474
2032	590	0.609489882557
2032	510	0.679985643055
2032	310	0.699945132211
2032	390	0.735323919165
2032	350	0.689941096727
2032	430	0.723135352902
2032	630	0.600874321852
2032	550	0.63889467809
2032	470	0.694196452651
2049	120	0.702430846215
2032	270	0.746653661162
2032	870	0.387571076842
2032	790	0.463246999395
2049	50	0.700592376374
2049	10	0.726336110016
2032	830	0.43295430549
2049	190	0.696915610141
2032	750	0.515309896627
2049	160	0.678535306826
2049	90	0.711624053867
2049	130	0.726336110016
2049	230	0.699979565914
2049	20	0.661385812583
2049	60	0.71039821074
2049	270	0.693851816003
2049	390	0.66199820151
2049	590	0.588235283809
2049	550	0.580788716181
2049	470	0.673477262126
2049	310	0.664447826823
2049	350	0.655874627469
2049	430	0.66089277194
2049	630	0.551013600701
2049	510	0.654834488172
2049	200	0.680985669475
2049	710	0.525905506434
2049	100	0.701818016533
2049	670	0.559386002963
2049	140	0.713462865569
2049	170	0.68466141391
2049	790	0.422383822458
2049	750	0.482233854962
2049	240	0.713462865569
2049	830	0.410334052737
2049	210	0.715301733495
2049	600	0.583581051905
2049	480	0.684199364423
2049	280	0.698141173112
2049	560	0.58916618069
2049	400	0.611806365974
2049	320	0.702430846215
2049	640	0.571947340096
2049	360	0.700519005738
2049	440	0.646447097237
2049	520	0.632470754169
2049	870	0.364035492435
2049	720	0.515680360147
2049	760	0.453455924886
2049	800	0.434438195889
2049	680	0.515215638737
2049	910	0.358947549966
2049	250	0.698753964275
2049	180	0.700592376374
2049	220	0.715914701928
2049	840	0.390879276276
2049	810	0.45391990348
2049	410	0.679071178055
2049	610	0.579392605955
2049	570	0.631073304804
2049	770	0.477590743336
2049	490	0.642253844262
2049	330	0.658323972836
2049	290	0.671184866591
2049	370	0.646690594269
2049	530	0.638526759009
2049	650	0.551478695222
2049	880	0.195077388379
2049	450	0.679071178055
2049	730	0.495237527786
2049	920	0.192776602692
2049	690	0.527764882989
2049	260	0.67363490481
2049	820	0.403384433646
2049	780	0.425165199279
2049	950	0.181124227284
2049	890	0.364035492435
2049	850	0.389490152743
2049	420	0.667417745785
2049	580	0.597079476274
2049	620	0.551478695222
2049	340	0.682800727614
2049	380	0.699120021518
2049	300	0.655262308767
2049	660	0.564968419365
2049	540	0.620826390763
2049	500	0.63806089005
2049	460	0.6664855646
2049	930	0.185416223739
2049	990	0.172084349305
2049	740	0.501276395655
2049	700	0.536133045338
2049	960	0.171931179206
2049	900	0.337220198182
2066	100	0.662949212657
2066	60	0.658446515194
2066	260	0.659009332526
2066	20	0.670829799082
2049	940	0.183883232988
2049	860	0.371437956938
2049	1000	0.168714991181
2066	180	0.656758097382
2066	220	0.640439405894
2066	500	0.585411268826
2066	580	0.568732246317
2066	380	0.599946007686
2066	340	0.63256319019
2066	540	0.616644809078
2066	300	0.635938567567
2066	420	0.589827816902
2066	460	0.602095498779
2066	140	0.652255901841
2049	970	0.175914131186
2066	110	0.655632514067
2066	70	0.671955686216
2066	660	0.51274904234
2066	620	0.539664011466
2066	270	0.664074943526
2066	700	0.468781377373
2066	30	0.657320897615
2066	740	0.450014027579
2066	190	0.662386355673
2066	390	0.586455565457
2066	590	0.567877056287
2066	550	0.606802219467
2066	510	0.619212718688
2066	230	0.656758097382
2049	980	0.169480683237
2066	350	0.615127240778
2066	310	0.629750541654
2066	80	0.648879497411
2066	120	0.663512075277
2066	430	0.64061631442
2066	470	0.616644809078
2066	150	0.675896464903
2066	0	0.655632514067
2066	670	0.503780991641
2066	710	0.492680302541
2066	630	0.539664011466
2066	280	0.647191373614
